Date;Title;URL;Is_Hidden
14-02-2026;中国人民银行将在香港发行500亿元人民币央行票据;http://www.locpg.gov.cn/20260214/006bea481c9548ff9e905a7364300912/c.html;0
27-04-2025;国家市场监督管理总局：长和港口交易各方 不得采取任何方式规避反垄断审查;http://www.locpg.gov.cn/20250427/ef08fea016714c4987eb46fa8cb939b3/c.html;0
23-04-2025;我国第四批航天员正按计划有序训练 港澳航天员最早将在2026年首次执行飞行任务;http://www.locpg.gov.cn/20250423/3ae1bb2089094256a50f256f0a9d19f2/c.html;0
15-11-2024;中华人民共和国出入境管理局关于在深圳湾、拱北口岸试点启用“免出示证件”通道的公告;http://www.locpg.gov.cn/jsdt/2024-11/15/c_1212407304.htm;0
09-10-2024;内地与香港签署《关于修订＜CEPA服务贸易协议＞的协议二》;http://www.locpg.gov.cn/jsdt/2024-10/09/c_1212403875.htm;0
21-08-2024;教育部启动第二批“国优计划”试点 香港地区高校首次加入;http://www.locpg.gov.cn/jsdt/2024-08/21/c_1212390292.htm;0
01-07-2024;港澳永久性居民中的非中国籍人员7月10日起可申办来往内地通行证件;http://www.locpg.gov.cn/jsdt/2024-07/01/c_1212376874.htm;0
01-07-2024;内地与香港实质性完成CEPA服务贸易协议新一轮修订磋商;http://www.locpg.gov.cn/jsdt/2024-07/01/c_1212376985.htm;0
16-05-2024;关于全面实施外国旅游团乘坐邮轮入境免签政策的公告;http://www.locpg.gov.cn/jsdt/2024-05/16/c_1212362652.htm;0
11-05-2024;中华人民共和国出入境管理局关于在山西省太原市等8个城市签发往来港澳“个人旅游签注”的公告;http://www.locpg.gov.cn/jsdt/2024-05/11/c_1212361062.htm;0
28-04-2024;国家移民管理局出台进一步便民利企出入境管理若干政策措施 5月6日起换发补发出入境证件可“全程网办”;http://www.locpg.gov.cn/jsdt/2024-04/28/c_1212357547.htm;0
28-04-2024;国家移民管理局关于实施进一步便民利企出入境管理若干政策措施的公告;http://www.locpg.gov.cn/jsdt/2024-04/28/c_1212357542.htm;0
19-04-2024;中国证监会发布5项资本市场对港合作措施;http://www.locpg.gov.cn/jsdt/2024-04/19/c_1212354644.htm;0
23-02-2024;关于在陕西省西安市、山东省青岛市签发往来港澳“个人旅游签注”的公告;http://www.locpg.gov.cn/jsdt/2024-02/23/c_1212335526.htm;0
07-12-2023;财政部将在香港发行100亿元人民币国债;http://www.locpg.gov.cn/jsdt/2023-12/07/c_1212311563.htm;0
12-05-2023;18条重磅措施！5月15日起实施;http://www.locpg.gov.cn/jsdt/2023-05/12/c_1212176444.htm;0
11-05-2023;5月15日起全面恢复口岸快捷通关;http://www.locpg.gov.cn/jsdt/2023-05/11/c_1212175825.htm;0
11-05-2023;关于进一步调整优化若干出入境管理政策措施的公告;http://www.locpg.gov.cn/jsdt/2023-05/11/c_1212175829.htm;0
11-05-2023;进一步调整优化出入境管理政策措施“问与答”;http://www.locpg.gov.cn/jsdt/2023-05/11/c_1212175830.htm;0
04-05-2023;中国人民银行公布《内地与香港利率互换市场互联互通合作管理暂行办法》;http://www.locpg.gov.cn/jsdt/2023-05/04/c_1212173696.htm;0
02-05-2023;“港车北上”政策正式公布;http://www.locpg.gov.cn/jsdt/2023-05/02/c_1212173313.htm;0
28-04-2023;关于延长港澳居民来往内地通行证有效期的公告;http://www.locpg.gov.cn/jsdt/2023-04/28/c_1212172346.htm;0
18-04-2023;内地供港生乳监管措施再优化 从申报到通关压缩到6小时内;http://www.locpg.gov.cn/jsdt/2023-04/18/c_1212130845.htm;0
24-02-2023;中国人民银行 银保监会 证监会 外汇局 广东省人民政府关于金融支持前海深港现代服务业合作区全面深化改革开放的意见;http://www.locpg.gov.cn/jsdt/2023-02/24/c_1211732593.htm;0
24-02-2023;中国人民银行 银保监会 证监会 外汇局 广东省人民政府关于金融支持横琴粤澳深度合作区建设的意见;http://www.locpg.gov.cn/jsdt/2023-02/24/c_1211732591.htm;0
24-02-2023;中国人民银行等推出金融举措支持横琴、前海改革开放 推动粤港澳合作发展;http://www.locpg.gov.cn/jsdt/2023-02/24/c_1211732583.htm;0
09-02-2023;2023年2月20日起粤港澳大湾区内地城市试点实施往来港澳人才签注政策;http://www.locpg.gov.cn/jsdt/2023-02/09/c_1211726855.htm;0
06-02-2023;旅行社经营内地与港澳入出境团队旅游业务2月6日起恢复;http://www.locpg.gov.cn/jsdt/2023-02/06/c_1211725589.htm;0
